species	body_size_kg	discription_measurement	measurement_mm
aptenodytes_forsteri	32.55	lowest_length	112.20
aptenodytes_forsteri	32.55	highest_length	117.00
aptenodytes_forsteri	32.55	mean_length	114.20
aptenodytes_forsteri	32.55	lowest_proximal_width	30.60
aptenodytes_forsteri	32.55	highest_proximal_width	32.00
aptenodytes_forsteri	32.55	mean_proximal_width	31.90
aptenodytes_forsteri	32.55	lowest_midshaft_width	15.30
aptenodytes_forsteri	32.55	highest_midshaft_width	17.60
aptenodytes_forsteri	32.55	mean_midshaft_width	16.60
aptenodytes_forsteri	32.55	specimen_length	122.20
aptenodytes_forsteri	32.55	specimen_length	117.90
aptenodytes_forsteri	32.55	specimen_midshaft_width	13.59
aptenodytes_forsteri	32.55	specimen_proximal_width 	31.91
aptenodytes_patagonicus	13.24	specimen_length	66.70
aptenodytes_patagonicus	13.24	specimen_midshaft_width	7.71
aptenodytes_patagonicus	13.24	specimen_proximal_width 	14.51
aptenodytes_patagonicus	13.24	lowest_length	90.00
aptenodytes_patagonicus	13.24	highest_length	97.00
aptenodytes_patagonicus	13.24	mean_length	94.00
aptenodytes_patagonicus	13.24	lowest_proximal_width	25.20
aptenodytes_patagonicus	13.24	highest_proximal_width	26.00
aptenodytes_patagonicus	13.24	mean_proximal_width	25.50
aptenodytes_patagonicus	13.24	lowest_midshaft_width	11.80
aptenodytes_patagonicus	13.24	highest_midshaft_width	12.60
aptenodytes_patagonicus	13.24	mean_midshaft_width	12.30
eudyptes_chrysocome	2.98	lowest_length	64.70
eudyptes_chrysocome	2.98	highest_length	69.50
eudyptes_chrysocome	2.98	mean_length	67.60
eudyptes_chrysocome	2.98	lowest_proximal_width	14.80
eudyptes_chrysocome	2.98	highest_proximal_width	15.00
eudyptes_chrysocome	2.98	mean_proximal_width	14.90
eudyptes_chrysocome	2.98	lowest_midshaft_width	7.80
eudyptes_chrysocome	2.98	highest_midshaft_width	8.00
eudyptes_chrysocome	2.98	mean_midshaft_width	7.90
eudyptes_chrysolophus	5.02	specimen_length	63.80
eudyptes_chrysolophus	5.02	specimen_proximal_width	15.00
eudyptes_chrysolophus	5.02	specimen_midshaft_width	6.50
eudyptula_minor	1.12	specimen_length	53.60
eudyptula_minor	1.12	specimen_length	52.70
eudyptula_minor	1.12	specimen_length	51.10
eudyptula_minor	1.12	specimen_midshaft_width	5.20
eudyptula_minor	1.12	specimen_midshaft_width	4.80
eudyptula_minor	1.12	specimen_midshaft_width	5.00
eudyptula_minor	1.12	specimen_proximal_width 	10.90
eudyptula_minor	1.12	specimen_proximal_width 	10.90
eudyptula_minor	1.12	specimen_proximal_width 	10.80
eudyptula_minor	1.12	lowest_length	48.20
eudyptula_minor	1.12	highest_length	49.70
eudyptula_minor	1.12	mean_length	49.00
eudyptula_minor	1.12	lowest_proximal_width	10.50
eudyptula_minor	1.12	highest_proximal_width	10.70
eudyptula_minor	1.12	mean_proximal_width	10.60
eudyptula_minor	1.12	lowest_midshaft_width	5.40
eudyptula_minor	1.12	highest_midshaft_width	6.00
eudyptula_minor	1.12	mean_midshaft_width	5.70
eudyptula_novaehollandiae	1.11	specimen_length	52.10
eudyptula_novaehollandiae	1.11	specimen_length	53.40
eudyptula_novaehollandiae	1.11	specimen_length	50.80
eudyptula_novaehollandiae	1.11	specimen_midshaft_width	5.50
eudyptula_novaehollandiae	1.11	specimen_midshaft_width	5.50
eudyptula_novaehollandiae	1.11	specimen_midshaft_width	4.90
eudyptula_novaehollandiae	1.11	specimen_proximal_width 	11.30
eudyptula_novaehollandiae	1.11	specimen_proximal_width 	12.30
eudyptula_novaehollandiae	1.11	specimen_proximal_width 	11.80
pygoscelis_adeliae	4.98	specimen_length	82.59
pygoscelis_adeliae	4.98	specimen_length	81.87
pygoscelis_adeliae	4.98	specimen_length	81.36
pygoscelis_adeliae	4.98	specimen_midshaft_width	7.98
pygoscelis_adeliae	4.98	specimen_midshaft_width	7.67
pygoscelis_adeliae	4.98	specimen_midshaft_width	7.00
pygoscelis_adeliae	4.98	specimen_proximal_width 	17.59
pygoscelis_adeliae	4.98	specimen_proximal_width 	18.16
pygoscelis_adeliae	4.98	specimen_proximal_width 	16.14
pygoscelis_adeliae	4.98	lowest_length	79.70
pygoscelis_adeliae	4.98	highest_length	80.80
pygoscelis_adeliae	4.98	mean_length	80.50
pygoscelis_adeliae	4.98	lowest_proximal_width	18.00
pygoscelis_adeliae	4.98	highest_proximal_width	18.60
pygoscelis_adeliae	4.98	mean_proximal_width	18.30
pygoscelis_adeliae	4.98	lowest_midshaft_width	8.20
pygoscelis_adeliae	4.98	highest_midshaft_width	8.30
pygoscelis_adeliae	4.98	mean_midshaft_width	8.30
pygoscelis_antarctica	4.73	specimen_length	75.36
pygoscelis_antarctica	4.73	specimen_length	75.40
pygoscelis_antarctica	4.73	specimen_length	72.90
pygoscelis_antarctica	4.73	specimen_midshaft_width	7.36
pygoscelis_antarctica	4.73	specimen_midshaft_width	7.21
pygoscelis_antarctica	4.73	specimen_midshaft_width	7.24
pygoscelis_antarctica	4.73	specimen_proximal_width 	15.63
pygoscelis_antarctica	4.73	specimen_proximal_width 	15.47
pygoscelis_antarctica	4.73	specimen_proximal_width 	15.02
pygoscelis_antarctica	4.73	specimen_length	75.70
pygoscelis_antarctica	4.73	specimen_proximal_width 	16.50
pygoscelis_antarctica	4.73	specimen_midshaft_width	7.50
pygoscelis_papua	5.36	specimen_length	82.84
pygoscelis_papua	5.36	specimen_length	84.21
pygoscelis_papua	5.36	specimen_length	85.85
