epoch	epoch_code	species	mya_max	mya_min	mya_avg	avg_temp	location	loc_col	measurement 	mm	body_mass	lower_95	upper_95		
paleocene	7	kupoupou_stilwelli 	62.5	60.0	61.25	14.02789686	new_zealand	green	FPW 	26.70	16.17	10.90975805	28.1205313		
paleocene	7	kumimanu_biceae	61.6	60.5	61.05	14.07616526	new_zealand	green	FPW 	45.00	71.62	52.50239174	135.3279461		
paleocene	7	crossvallia_waiparensis	61.0	61.0	61.00	14.16450667	new_zealand	green	HPW	48.50	39.18				
paleocene	7	sequiwaimanu_rosieae	61.0	61.0	61.00	14.16450667	new_zealand	green	FL	104.30	15.61	9.302017936	26.20043873		
paleocene	7	crossvallia_unienwillia	59.2	59.2	59.20	14.71024667	antartica	blue	FPW 	41.80	58.04	42.04854677	108.3825571		
paleocene	7	muriwaimanu_tuatahi 	60.0	58.0	59.00	12.89458077	new_zealand	green	FL	104.00	15.44	9.201321105	25.91681197		51.70
paleocene	7	Kumimanu fordycei 	59.5	55.5	57.50	13.57135719	new_zealand	green	HPW	83.50	159.65				
paleocene	7	petradyptes_stonehousei 	59.5	55.5	57.50	13.57135719	new_zealand	green	FPW 	36.00	37.91	26.821487276	69.133932095		
eocene	6	kaiika_maxwelli 	55.8	49.3	52.55	15.88796551	new_zealand	green	HPW	42.10	27.17				33.54
eocene	6	palaeeudyptes_gunnari	55.0	34.0	44.50	12.06518702	antartica 	blue	FPW 	36.10	38.21	27.0463691	69.71357798		
eocene	6	palaeeudyptes_klekowskii 	54.0	34.0	44.00	11.84032684	antartica	blue	FL	134.40	39.68	24.24733755	68.29602846		
eocene	6	anthropornis_grandis 	53.0	34.0	43.50	11.70311595	antartica	blue	HL	194.20	82.49				
eocene	6	anthropornis_nordenskjoeldi	53.0	34.0	43.50	11.70311595	antartica	blue	FPW 	41.00	54.93	39.67254333	102.2582711		
eocene	6	marambiornis_exilis	53.0	34.0	43.50	11.70311595	antartica	blue	FL	98.00	12.34	7.350778526	20.70449914		
eocene	6	mesetaornis_polaris	53.0	34.0	43.50	11.70311595	antartica	blue	FPW 	21.00	8.16	5.295408016	13.64921991		
eocene	6	delphinornis_larseni 	53.0	34.0	43.50	9.573282886	antartica	blue	FPW 	11.40	1.43	0.841997716	2.170297729		
eocene	6	perudyptes_devriesi	42.0	42.0	42.00	12.43174857	peru	yellow	HPW	31.50	12.84				
eocene	6	archaeospheniscus_wimani 	50.0	34.0	42.00	11.41446271	antartica	blue	FPW 	29.30	21.08	14.43067179	37.19588975		
