species	body_mass	length	midshaft	proximal	ln_bodymass	ln_length	ln_midshaft	ln_proximal
aptenodytes_forsteri	32.55	117.9	13.59	31.91	3.482777369	4.769836808	2.609334228	3.46291944
aptenodytes_patagonicus	13.24	66.7	7.709	14.51	2.583242551	4.200204953	2.042388477	2.674838067
eudyptes_chrysolophus	5.02	63.8	6.5	15	1.613429934	4.15575319	1.871802177	2.708050201
eudyptula_minor	1.12	53.6	5.2	10.9	0.113328685	3.981549068	1.648658626	2.388762789
eudyptula_minor	1.12	52.7	4.8	10.9	0.113328685	3.964615456	1.568615918	2.388762789
eudyptula_minor	1.12	51.1	5	10.8	0.113328685	3.933784497	1.609437912	2.379546134
eudyptula_novaehollandiae	1.11	52.1	5.5	11.3	0.104360015	3.953164949	1.704748092	2.424802726
eudyptula_novaehollandiae	1.11	53.4	5.5	12.3	0.104360015	3.977810746	1.704748092	2.509599262
eudyptula_novaehollandiae	1.11	50.8	4.9	11.8	0.104360015	3.927896355	1.589235205	2.468099531
pygoscelis_adeliae	4.98	82.59	7.98	17.59	1.605429891	4.413888608	2.076938411	2.867330559
pygoscelis_adeliae	4.98	81.87	7.67	18.16	1.605429891	4.405132623	2.037316615	2.899221373
pygoscelis_adeliae	4.98	81.36	7	16.14	1.605429891	4.398883752	1.945910149	2.781300663
pygoscelis_antarctica	4.73	75.36	7.36	15.63	1.553925203	4.32227663	1.996059933	2.749192144
pygoscelis_antarctica	4.73	75.4	7.21	15.47	1.553925203	4.322807275	1.975468951	2.738902665
pygoscelis_antarctica	4.73	72.9	7.24	15.02	1.553925203	4.289088639	1.979621206	2.709382646
pygoscelis_antarctica	4.73	75.7	7.5	16.5	1.553925203	4.32677816	2.014903021	2.803360381
pygoscelis_papua	5.36	82.84	8.19	17.2	1.678963975	4.416911037	2.102913898	2.844909384
pygoscelis_papua	5.36	84.21	9.11	18.33	1.678963975	4.433313679	2.209372711	2.908539062
pygoscelis_papua	5.36	85.85	8.95	18.86	1.678963975	4.452601587	2.191653532	2.937043277
spheniscus_humboldti	4.38	77.34	8.537	17.23	1.477048724	4.348211286	2.144409658	2.846652051
