species	mya_max	mya_min
anthropodyptes_gilli	21	17.6
anthropornis_grandis 	53	34
anthropornis_nordenskjoeldi	53	34
aprosdokitos_mikrotero 	38	34
aptenodyres_ridgeni 	4	2
archaeospheniscus_lopdelli	27	25
archaeospheniscus_lowei 	27	25
archaeospheniscus_wimani 	50	34
arthrodytes_andrewsi	25	22
crossvallia_unienwillia	59.2	59.1
crossvallia_waiparensis	61.1	61
dege_hendeyi 	5.3	3.6
delphinonis_arctowskii 	38	34
delphinornis_gracilis	41	34
delphinornis_larsenni 	53	34
delphinornis_wimani  	53	34
duntroonornis_parvus	27	24
eretiscus_tonni 	23	20.44
eudyptes_atatu	3.3	3
eudyptes_warhami	2	0.0003
incadyptes_salasi	37.2	35.7
inguza_predemersus 	5.2	5
inkayaku_paracacensis	37.2	35.7
kaiika_maxwelli 	55.8	49.3
kairuku_grebneffi	27.3	25.2
kairuku_waewaeroa	34	27.3
kairuku_waitaki	34.5	27.3
korora_oliveri	25	24
kumimanu_biceae	61.6	60.5
kumimanu_fordycei 	59.5	55.5
kupoupou_stilwelli 	62.5	60
madrynornis_mirandus	11.4	9
marambiornis_exilis	53	34
marambiornopsis_sobrali 	41.1	37.8
marplesornis_novaezealandiae	12.7	2.4
mesetaornis_polaris	53	34
muriwaimanu_tuatahi 	60	58
nucleornis_insolitus 	5.2	5
pachydyptes_ponderosus 	36	30
pachydyptes_simpsoni	38	36.5
pakudyptes_hakataramea 	25	24
palaeeudyptes_antarcticus 	38	28
palaeeudyptes_gunnari	55	34
palaeeudyptes_klekowskii 	54	34
palaeospheniscus_bergi	23	20.44
palaeospheniscus_biloculata	23	20.44
palaeospheniscus_patagonicus	23	20.44
paraptenodytes_antarcticus	23	20.44
paraptenodytes_robustus	25	22
perudyptes_devriesi	42.1	42
petradyptes_stonehousei 	59.5	55.5
platydyptes_amiesi 	26	24
platydyptes_marplesi	27	22
platydyptes_novaezealandiae	26	24
pseudaptenodytes_macraei	6.2	5
pygoscelis_calderensis 	7.8	7.6
pygoscelis_grandis	5.3	3.6
pygoscelis_tyreei  	4	2
sequiwaimanu_rosieae	61.1	61
spheniscus_chilensis	3.6	2.6
spheniscus_megramphus	11.6	3.6
spheniscus_muizoni	13	11
spheniscus_urbinai 	23	5
tereingaornis_moisleyi 	4	3
tonniornis_mesetaensis	37.8	34
tonniornis_minimum 	37.8	34
waimanu_manneringi 	61.6	60.5
palaeeudyptes_marplesi	38	34
